ind,subject,predicate,object,qualifier,qualifier value,reference,reference value
0,麒麟市,start time,1820,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_23426"""
1,麒麟市,end time,1820,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_23426"""
2,麒麟市,located in the present-day administrative territorial entity,江苏省,,,stated in,"[""《江苏省地图集》""]"
2,麒麟市,located in the present-day administrative territorial entity,江苏省,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_23426"""
3,麒麟市,located in the administrative territorial entity,开宁乡,,,stated in,"[""《上元县志》"", ""《景定建康志》""]"
3,麒麟市,located in the administrative territorial entity,开宁乡,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_23426"""
4,麒麟市,dynasty,清,,,stated in,"[""《上元县志》""]"
4,麒麟市,dynasty,清,,,reference URL,"""https://maps.cga.harvard.edu/tgaz/placename/hvd_23426"""
